FPS|deltaTimeS|renderingMode|numTris|numDrawCalls|objectCount
50.00002|0.01999999|instanced|1686|7|1
50.00002|0.01999999|instanced|1796662|24|1
10.94688|0.09135021|instanced|1438298|28|1
44.47134|0.02248639|instanced|1794970|17|1
5.034053|0.1986471|instanced|1794970|17|1
79.35249|0.012602|instanced|1794970|17|1
69.6733|0.0143527|instanced|1794970|17|1
67.65668|0.01478051|instanced|1794970|17|1
64.4496|0.015516|instanced|1794970|17|1
62.77661|0.0159295|instanced|1794970|17|1
69.33325|0.01442309|instanced|1794970|17|1
63.14724|0.015836|instanced|1794970|17|1
64.68517|0.0154595|instanced|1794970|17|1
52.39634|0.0190853|instanced|1794970|17|1
78.7656|0.0126959|instanced|1794970|17|1
69.71116|0.01434491|instanced|1794970|17|1
70.80048|0.0141242|instanced|1794970|17|1
70.37|0.0142106|instanced|1794970|17|1
60.40472|0.016555|instanced|1794970|17|1
70.46223|0.014192|instanced|1436362|16|1
38.34591|0.0260784|instanced|1794970|17|1
54.88926|0.0182185|instanced|1794970|17|1
58.17505|0.0171895|instanced|1794970|17|1
58.33319|0.0171429|instanced|1794970|17|1
72.08871|0.0138718|instanced|1794970|17|1
78.6887|0.01270831|instanced|1436362|16|1
44.80589|0.0223185|instanced|1794970|17|1
41.10472|0.0243281|instanced|1794970|17|1
85.56004|0.0116877|instanced|1794970|17|1
57.43066|0.0174123|instanced|1794970|17|1
56.26608|0.0177727|instanced|1794970|17|1
46.77268|0.02138|instanced|1794970|17|1
58.60361|0.0170638|instanced|1794970|17|1
82.68971|0.0120934|instanced|1794970|17|1
44.81572|0.0223136|instanced|1794970|17|1
79.673|0.0125513|instanced|1794970|17|1
93.29668|0.01071849|instanced|1794970|17|1
82.45514|0.01212781|instanced|1794970|17|1
136.1471|0.007344997|instanced|1794970|17|1
115.8655|0.008630698|instanced|1794970|17|1
84.76515|0.0117973|instanced|1794970|17|1
112.8388|0.008862202|instanced|1794970|17|1
134.8163|0.007417503|instanced|1794970|17|1
123.434|0.008101495|instanced|1794970|17|1
126.0017|0.007936401|instanced|1794970|17|1
117.1866|0.008533397|instanced|1794970|17|1
122.0419|0.008193905|instanced|1794970|17|1
66.15289|0.0151165|instanced|1794970|17|1
64.83485|0.0154238|instanced|1794970|17|1
70.95468|0.0140935|instanced|1794970|17|1
118.461|0.008441595|instanced|1794970|17|1
138.2055|0.007235601|instanced|1794970|17|1
162.9275|0.006137698|instanced|1794970|17|1
161.1007|0.006207299|instanced|1794970|17|1
106.2597|0.009410906|instanced|1794970|17|1
99.88519|0.01001149|instanced|1794970|17|1
71.83028|0.01392171|instanced|1794970|17|1
23.12187|0.0432491|instanced|1794970|17|1
86.57111|0.0115512|instanced|1794970|17|1
128.6306|0.007774199|instanced|1794970|17|1
148.6812|0.006725801|instanced|1794970|17|1
134.6911|0.007424398|instanced|1794970|17|1
95.32069|0.0104909|instanced|1794970|17|1
59.6687|0.01675921|instanced|1794970|17|1
111.3152|0.008983497|instanced|1794970|17|1
136.6475|0.007318098|instanced|1436362|16|1
103.4672|0.009664902|instanced|1794970|17|1
83.74085|0.0119416|instanced|1794970|17|1
56.92299|0.0175676|instanced|1794970|17|1
50.53951|0.0197865|instanced|1436362|16|1
47.34557|0.0211213|instanced|1436362|16|1
43.27468|0.0231082|instanced|1794970|17|1
113.0774|0.008843502|instanced|1794970|17|1
172.3395|0.005802501|instanced|1794970|17|1
160.2462|0.006240398|instanced|1794970|17|1
136.1396|0.007345401|instanced|1794970|17|1
116.4931|0.008584198|instanced|1794970|17|1
111.8193|0.008942999|instanced|1794970|17|1
65.37059|0.0152974|instanced|1794970|17|1
84.72205|0.0118033|instanced|1794970|17|1
68.46407|0.0146062|instanced|1794970|17|1
98.30427|0.0101725|instanced|1794970|17|1
101.9046|0.009813102|instanced|1794970|17|1
69.27413|0.0144354|instanced|1794970|17|1
76.43449|0.0130831|instanced|1794970|17|1
160.0666|0.006247399|instanced|1794970|17|1
183.13|0.005460601|instanced|1794970|17|1
105.7496|0.009456299|instanced|1794970|17|1
61.70403|0.0162064|instanced|1794970|17|1
101.9576|0.009808|instanced|1794970|17|1
161.4466|0.006193998|instanced|1794970|17|1
148.2931|0.006743403|instanced|1794970|17|1
145.862|0.006855797|instanced|1794970|17|1
123.136|0.008121103|instanced|1794970|17|1
73.46029|0.0136128|instanced|1794970|17|1
